d,s,noise,rep,seed,notears_edges,exact_edges,greedy_edges,false_positive_removals,true_positive_removals,candidate_max_indegree,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard
20,5,exponential,6,2062139,42,33,33,9,0,6,0.0,False,1.0
20,5,exponential,7,2062140,33,32,32,1,0,6,0.0,False,1.0
20,5,exponential,8,2062141,47,38,38,9,0,7,0.0,False,1.0
20,5,exponential,9,2062142,46,32,32,10,4,7,0.0,False,1.0
20,5,exponential,10,2062143,37,36,36,1,0,8,0.0,False,1.0
20,5,exponential,11,2062144,38,36,36,2,0,4,0.0,False,1.0
20,5,exponential,12,2062145,37,30,30,7,0,8,0.0,False,1.0
20,5,exponential,13,2062146,50,32,32,18,0,8,0.0,False,1.0
20,5,exponential,14,2062147,36,31,31,4,1,6,0.0,False,1.0
20,5,exponential,15,2062148,56,41,41,15,0,10,0.0,False,1.0
20,5,exponential,16,2062149,47,37,37,10,0,7,0.0,False,1.0
20,5,exponential,17,2062150,55,38,38,17,0,9,0.0,False,1.0
20,5,exponential,18,2062151,40,37,37,3,0,6,0.0,False,1.0
20,5,exponential,19,2062152,45,39,39,6,0,7,0.0,False,1.0
20,5,gumbel,0,2062143,40,38,38,2,0,8,0.0,False,1.0
20,5,gumbel,1,2062144,36,34,34,2,0,5,0.0,False,1.0
20,5,gumbel,2,2062145,36,29,29,7,0,10,0.0,False,1.0
20,5,gumbel,3,2062146,40,25,25,15,0,7,0.0,False,1.0
20,5,gumbel,4,2062147,36,31,31,4,1,6,0.0,False,1.0
20,5,gumbel,5,2062148,52,39,39,13,0,9,0.0,False,1.0
20,5,gumbel,6,2062149,42,37,37,5,0,8,0.0,False,1.0
20,5,gumbel,7,2062150,50,37,37,13,0,9,0.0,False,1.0
20,5,gumbel,8,2062151,38,37,37,1,0,6,0.0,False,1.0
20,5,gumbel,9,2062152,41,37,37,4,0,6,0.0,False,1.0
20,5,gumbel,10,2062153,50,38,39,12,0,9,3.1638295939787895,True,0.925
