abs_r,r,var1,var2
0.10170578533917585,-0.10170578533917585,repeats__rate,HeadIn
0.10120374796540241,-0.10120374796540241,mated_inventory_20wks,Mummies_avg
0.10117630420003101,-0.10117630420003101,wean_to_service,HeadIn
0.10070818586831612,-0.10070818586831612,prenatal_losses_avg,Pre_weaning_mortality
0.10037348901519047,-0.10037348901519047,gilts_bred_rate,Last_week_wean_bred_rate
0.1002903934947292,0.1002903934947292,mated_inventory_20wks,Last_week_wean_bred_rate
0.09805697034392251,-0.09805697034392251,number_services,repeats__rate
0.09803331290852181,-0.09803331290852181,Mummies_avg,final_inventory
0.09753333483904875,0.09753333483904875,services_per_inventory_N_rate,repeats__rate
0.09633493075510394,0.09633493075510394,PWSow,pregnant_105days_rate
0.09575803753693896,-0.09575803753693896,gilts_bred_rate,pregnant_105days_rate
0.09558084784404883,0.09558084784404883,Interval_farrows,avg_parity_at_farrow
0.09523743269533037,-0.09523743269533037,avg_parity_at_farrow,mortality_60days
0.094675972959239,-0.094675972959239,Last_week_wean_bred_rate,mortality_60days
0.0945607872928226,0.0945607872928226,abortions_rate,Stillborn_avg
0.09449690918350431,0.09449690918350431,Gestation_days,PWSow
0.09422267238673337,0.09422267238673337,number_services,PWSow
0.09356990278005578,0.09356990278005578,gilts_bred_rate,mortality_60days
0.09324601292936043,0.09324601292936043,Interval_farrows,mortality_60days
0.09229537395503995,0.09229537395503995,Born_alive_avg,HeadIn
0.09091856818102866,0.09091856818102866,services_per_inventory_N_rate,mortality_60days
0.0878126421090611,-0.0878126421090611,Stillborn_avg,Pre_weaning_mortality
0.08773394903633594,-0.08773394903633594,Avg_parity_farrow,wean_to_service
0.08728088083897874,0.08728088083897874,PWSow,HeadIn
0.08600633215240888,0.08600633215240888,Avg_parity_farrow,pregnant_105days_rate
0.08535337441431014,-0.08535337441431014,HeadIn,mortality_60days
0.08534346118718411,-0.08534346118718411,nonproductive_days,PWSow
0.08533619237454575,0.08533619237454575,PWSow,productive_days_rate
0.08520430966649165,-0.08520430966649165,mated_inventory_20wks,PWMFyear
0.0846882933648567,0.0846882933648567,Avg_parity_farrow,mated_inventory_20wks
0.08459232918966424,-0.08459232918966424,number_services,mortality_60days
0.08353198916243536,-0.08353198916243536,abortions_rate,Last_week_wean_bred_rate
0.08343219101347356,0.08343219101347356,Avg_parity_farrow,HeadIn
0.0816264765041295,-0.0816264765041295,Total_born_avg,Sow_Death_rate
0.08146957354608249,0.08146957354608249,Avg_parity_farrow,PWSow
0.08019476475324076,-0.08019476475324076,services_per_inventory_N_rate,Farrowing__rate
0.07849885947335887,0.07849885947335887,abortions_rate,Lactation_days
0.07819760907231739,0.07819760907231739,number_services,productive_days_rate
0.07814162031279664,-0.07814162031279664,nonproductive_days,number_services
0.07812974091890393,0.07812974091890393,Gestation_days,Lactation_days
0.0774644953236098,-0.0774644953236098,Litters_female_year,mated_inventory_20wks
0.07728578852876095,-0.07728578852876095,Lactation_days,HeadIn
0.07702610020959098,-0.07702610020959098,services_per_inventory_N_rate,pregnant_105days_rate
0.07661389660502499,0.07661389660502499,pregnant_105days_rate,HeadIn
0.07551390378632893,0.07551390378632893,PWSow,Last_week_wean_bred_rate
0.0737554869313938,-0.0737554869313938,Litters_female_year,Last_week_wean_bred_rate
0.0735013213255189,0.0735013213255189,Interval_farrows,Sow_Death_rate
0.07269273910053999,0.07269273910053999,prenatal_losses_avg,Sow_Death_rate
0.07261516360838224,0.07261516360838224,PWSow,avg_parity_at_farrow
0.07259050666659034,0.07259050666659034,Stillborn_avg,Gestation_days
0.07197896719024455,-0.07197896719024455,number_services,Mummies_avg
0.07073793008264491,0.07073793008264491,mated_inventory_20wks,PWSow
0.07056457945292757,-0.07056457945292757,Born_alive_avg,services_per_inventory_N_rate
0.07040173927035595,0.07040173927035595,mated_inventory_20wks,avg_parity_at_farrow
0.07033440316628234,-0.07033440316628234,Pre_weaning_mortality,mortality_60days
0.06952768112685538,0.06952768112685538,wean_to_service,gilts_bred_rate
0.06944117084667074,0.06944117084667074,Last_week_wean_bred_rate,final_inventory
0.0692390759376964,0.0692390759376964,PWSow,final_inventory
0.0691484978123783,-0.0691484978123783,Gestation_days,mortality_60days
0.06869373989714496,0.06869373989714496,Avg_parity_farrow,prenatal_losses_avg
0.06867342435310535,-0.06867342435310535,Avg_parity_farrow,Sow_Death_rate
0.06837843855187697,-0.06837843855187697,prenatal_losses_avg,HeadIn
0.06734434236289881,-0.06734434236289881,repeats__rate,avg_parity_at_farrow
0.06733589461718673,0.06733589461718673,Avg_parity_farrow,Gestation_days
0.06693226703440222,0.06693226703440222,nonproductive_days,Interval_farrows
0.06692789804022803,-0.06692789804022803,Interval_farrows,productive_days_rate
0.06667138795756848,-0.06667138795756848,Last_week_wean_bred_rate,Lactation_days
0.06574817631197297,-0.06574817631197297,Avg_parity_farrow,Mummies_avg
0.06538015388561445,-0.06538015388561445,Total_born_avg,Pre_weaning_mortality
0.06530790826102387,-0.06530790826102387,abortions_rate,Cull_rate_annual
0.06495992246048718,0.06495992246048718,prenatal_losses_avg,avg_parity_at_farrow
0.06461703876542559,-0.06461703876542559,Avg_parity_farrow,repeats__rate
0.06447856694103345,-0.06447856694103345,Total_born_avg,Lactation_days
0.06395171945946156,-0.06395171945946156,Mummies_avg,avg_parity_at_farrow
0.063355944923155,0.063355944923155,number_services,prenatal_losses_avg
0.06305364686939846,0.06305364686939846,abortions_rate,gilts_bred_rate
0.0630217520203249,-0.0630217520203249,Mummies_avg,HeadIn
0.06275858950468868,0.06275858950468868,Interval_farrows,Farrowing__rate
0.06215327569938912,0.06215327569938912,PWSow,Farrowing__rate
0.06196581823670671,0.06196581823670671,Avg_parity_farrow,number_services
0.061647769937335783,-0.061647769937335783,PWSow,gilts_bred_rate
